,Марка,Размер,Цвят,Материя,Цена,link
85,Gap,S, Зелен," 60% памук, 40% модал","25,20 лв.",https://remixshop.com/bg/womens-clothes-dresses-gap-pr19059956.html
86,Missguided,S, Сив,,"11,96 лв.",https://remixshop.com/bg/womens-clothes-dresses-missguided-pr18517039.html
87,Vila,"XS, S...", Черен," 92% полиамид, 8% еластан","47,40 лв.",https://remixshop.com/bg/womens-clothes-dresses-vila-pr19319284.html
88,Missguided,"XS, S", Бежов, Полиестер,"25,37 лв.",https://remixshop.com/bg/womens-clothes-dresses-missguided-pr19179771.html
89,Vero Moda,S, Оранжев," 60% полиестер, 25% вискоза, 14% полиестер, 1% еластан","20,30 лв.",https://remixshop.com/bg/womens-clothes-dresses-vero-moda-pr18637457.html
90,Orsay,S, Бял, Вискоза,"27,93 лв.",https://remixshop.com/bg/womens-clothes-dresses-orsay-pr19135300.html
91,H&M,S, Бял,,"26,25 лв.",https://remixshop.com/bg/womens-clothes-dresses-h-and-m-pr19034511.html
92,Next,S, Многоцветен, Полиестер,"19,79 лв.",https://remixshop.com/bg/womens-clothes-dresses-next-pr18873338.html
93,Рокля,S, Многоцветен, Полиестер,"38,85 лв.",https://remixshop.com/bg/womens-clothes-dresses-pr19106955.html
94,Neo Noir,S, Черен, Полиестер,"89,00 лв.",https://remixshop.com/bg/womens-clothes-tunics-dresses-neo-noir-pr19373699.html
95,Sand,S, Бежов," 99% вискоза, 1% еластан","49,28 лв.",https://remixshop.com/bg/womens-clothes-dresses-sand-pr19103526.html
96,Steffen Schraut,S, Син," 96% полиестер, 4% еластан","7,10 лв.",https://remixshop.com/bg/womens-clothes-dresses-steffen-schraut-pr18847527.html
97,Glamorous,S, Жълт," 70% памук, 30% полиестер","9,07 лв.",https://remixshop.com/bg/womens-clothes-dresses-glamorous-pr18634150.html
98,Penny Black,S, Многоцветен, Вискоза,"66,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-penny-black-pr19377110.html
99,Neo Noir,S, Бежов, Памук,"119,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-neo-noir-pr19373639.html
100,Glamorous,S, Розов," 70% памук, 30% полиестер","79,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-glamorous-pr19369218.html
101,Desigual,S, Многоцветен, 100% памук,"54,60 лв.",https://remixshop.com/bg/womens-clothes-dresses-desigual-pr19375100.html
102,Zwillingsherz,S, Многоцветен," 50% памук, 50% модал","22,36 лв.",https://remixshop.com/bg/womens-clothes-dresses-zwillingsherz-pr19370307.html
103,Lola May,S, Бял,,"11,96 лв.",https://remixshop.com/bg/womens-clothes-dresses-lola-may-pr18542090.html
104,Miss Selfridge,S, Зелен,,"38,16 лв.",https://remixshop.com/bg/womens-clothes-dresses-miss-selfridge-pr19084393.html
105,Рокля,S, Син,,"6,47 лв.",https://remixshop.com/bg/womens-clothes-dresses-pr19065916.html
106,Forever 21,S, Червен, 100% вискоза,"51,45 лв.",https://remixshop.com/bg/womens-clothes-dresses-forever-21-pr19035379.html
107,NU-IN,S, Черен, 100% полиестер,"15,96 лв.",https://remixshop.com/bg/womens-clothes-dresses-nu-in-pr18860924.html
108,Tom Tailor,S, Черен, Вискоза,"10,08 лв.",https://remixshop.com/bg/womens-clothes-dresses-tom-tailor-pr18265817.html
109,Zara,S, Многоцветен,,"28,50 лв.",https://remixshop.com/bg/womens-clothes-dresses-zara-pr19377408.html
110,LulaRoe,S, Син," 97% полиестер, 3% еластан","30,45 лв.",https://remixshop.com/bg/womens-clothes-dresses-lularoe-pr19374297.html
111,Desigual,S, Многоцветен," 68% полиестер, 29% вискоза, 3% еластан","66,72 лв.",https://remixshop.com/bg/womens-clothes-dresses-desigual-pr19302393.html
112,TFNC London,"S, M", Сив, Полиестер,"130,67 лв.",https://remixshop.com/bg/womens-clothes-dresses-tfnc-london-pr19366589.html
113,Mint & Berry,"XXS, XS...", Син, Полиестер,"44,85 лв.",https://remixshop.com/bg/womens-clothes-dresses-mint--and--berry-pr19334502.html
114,Vila,"XS, S...", Черен, Полиестер,"59,40 лв.",https://remixshop.com/bg/womens-clothes-dresses-vila-pr19334199.html
115,Abercrombie & Fitch,S, Бял, Вискоза,"49,35 лв.",https://remixshop.com/bg/womens-clothes-dresses-abercrombie--and--fitch-pr19374862.html
116,Forever 21,S, Зелен, 100% полиестер,"24,15 лв.",https://remixshop.com/bg/womens-clothes-dresses-forever-21-pr19374252.html
117,Vila,"S, M...", Розов, Полиестер,"50,37 лв.",https://remixshop.com/bg/womens-clothes-dresses-vila-pr19334515.html
118,ONLY,S, Бял," 92% полиамид, 8% еластан","23,10 лв.",https://remixshop.com/bg/womens-clothes-dresses-only-pr19051009.html
119,Hemisphere,S, Розов, Коприна,"166,95 лв.",https://remixshop.com/bg/womens-clothes-dresses-hemisphere-pr19374972.html
120,Kays,S, Многоцветен, Полиестер,"15,59 лв.",https://remixshop.com/bg/womens-clothes-dresses-kays-pr18839900.html
121,Eliza J,S, Многоцветен," 95% полиестер, 5% еластан","33,60 лв.",https://remixshop.com/bg/womens-clothes-dresses-eliza-j-pr19204986.html
122,Yumi,S, Черен, Полиестер,"12,64 лв.",https://remixshop.com/bg/womens-clothes-dresses-yumi-pr18184373.html
123,Fashion nova,S, Сребрист," 60% други нишки, 40% полиестер","43,05 лв.",https://remixshop.com/bg/womens-clothes-dresses-fashion-nova-pr19375184.html
124,MICHAEL Michael Kors,S, Жълт," 72% полиестер, 23% вискоза, 5% еластан","96,60 лв.",https://remixshop.com/bg/womens-clothes-dresses-michael-michael-kors-pr19374602.html
125,H&M Divided,S, Син, Полиестер,"27,30 лв.",https://remixshop.com/bg/womens-clothes-dresses-h-and-m-divided-pr19155511.html
126,SHEIN,S, Бял," 70% памук, 30% полиамид","29,40 лв.",https://remixshop.com/bg/womens-clothes-dresses-shein-pr19141131.html
127,H&M,S, Бял," 52% лиосел, 48% вискоза","28,35 лв.",https://remixshop.com/bg/womens-clothes-dresses-h-and-m-pr19066683.html
128,Neo Noir,S, Черен, Памук,"149,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-neo-noir-pr19373662.html
129,Jarlo,S, Син," 97% полиестер, 3% еластан","84,27 лв.",https://remixshop.com/bg/womens-clothes-dresses-jarlo-pr18860245.html
130,Amisu,S, Розов," 67% памук, 29% полиестер, 4% еластан","30,45 лв.",https://remixshop.com/bg/womens-clothes-dresses-amisu-pr19374984.html
131,Troyden,S, Сребрист, Полиестер,"149,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-troyden-pr19373612.html
132,Entry,S, Златист,,"40,95 лв.",https://remixshop.com/bg/womens-clothes-dresses-entry-pr18970574.html
133,Oxmo,S, Бял, Полиестер,"5,46 лв.",https://remixshop.com/bg/womens-clothes-dresses-oxmo-pr14106920.html
134,Zara Trafaluc,S, Зелен," 93% полиамид, 7% еластан","40,95 лв.",https://remixshop.com/bg/womens-clothes-dresses-zara-trafaluc-pr19375097.html
135,ONLY,S, Многоцветен, Полиестер,"22,05 лв.",https://remixshop.com/bg/womens-clothes-dresses-only-pr19374813.html
136,Lily,S, Черен," 65% полиестер, 35% памук","5,77 лв.",https://remixshop.com/bg/womens-clothes-dresses-lily-pr19024629.html
137,La Fee Maraboutee,S, Син," 95% вискоза, 5% еластан","15,29 лв.",https://remixshop.com/bg/womens-clothes-dresses-la-fee-maraboutee-pr17595013.html
138,Ivanka Trump,S, Многоцветен, Полиестер,"37,80 лв.",https://remixshop.com/bg/womens-clothes-dresses-ivanka-trump-pr19374967.html
139,Рокля,S, Черен," 95% памук, 5% еластан","27,30 лв.",https://remixshop.com/bg/womens-clothes-dresses-pr19374571.html
140,Object,"S, M...", Сив," 75% модал, 25% полиестер","44,85 лв.",https://remixshop.com/bg/womens-clothes-dresses-object-pr19334564.html
141,Jake*s,"XS, S", Син, Полиестер,"23,80 лв.",https://remixshop.com/bg/womens-clothes-dresses-jake%252As-pr19369238.html
142,Swing,S, Син, Полиестер,"19,35 лв.",https://remixshop.com/bg/womens-clothes-dresses-swing-pr19369236.html
143,Torrid,S, Жълт, Вискоза,"23,10 лв.",https://remixshop.com/bg/womens-clothes-dresses-torrid-pr19061019.html
144,Рокля,S, Син,,"15,18 лв.",https://remixshop.com/bg/womens-clothes-dresses-pr18511982.html
145,Missguided,S, Многоцветен, Вискоза,"30,74 лв.",https://remixshop.com/bg/womens-clothes-dresses-missguided-pr18510423.html
146,H&M,S, Бежов, Полиестер,"27,75 лв.",https://remixshop.com/bg/womens-clothes-dresses-h-and-m-pr19377421.html
147,Esprit,S, Многоцветен, Вискоза,"66,75 лв.",https://remixshop.com/bg/womens-clothes-dresses-esprit-pr19377101.html
148,Nikkie,S, Черен," 62% вискоза, 30% полиамид, 8% еластан","169,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-nikkie-pr19373634.html
149,Molly Bracken,S, Червен, Полиестер,"129,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-molly-bracken-pr19370264.html
150,Promod,S, Розов,,"33,60 лв.",https://remixshop.com/bg/womens-clothes-dresses-promod-pr19140062.html
151,H&M,S, Бял, Вискоза,"6,05 лв.",https://remixshop.com/bg/womens-clothes-dresses-h-and-m-pr19035429.html
152,Neo Noir,S, Многоцветен, Вискоза,"29,00 лв.",https://remixshop.com/bg/womens-clothes-tunics-dresses-neo-noir-pr18789865.html
153,Jack Wills,S, Бял, Памук,"29,37 лв.",https://remixshop.com/bg/womens-clothes-dresses-jack-wills-pr18514068.html
154,Lascana,S, Бял, Вискоза,"22,44 лв.",https://remixshop.com/bg/womens-clothes-dresses-lascana-pr18390802.html
155,Zwillingsherz,S, Розов, Памук,"56,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-zwillingsherz-pr19370304.html
156,Atmosphere,S, Многоцветен," 93% полиестер, 7% еластан","27,41 лв.",https://remixshop.com/bg/womens-clothes-dresses-atmosphere-pr19129017.html
157,Please,S, Черен," 64% полиестер, 33% вискоза, 3% други тъкани","17,80 лв.",https://remixshop.com/bg/womens-clothes-dresses-please-pr18438285.html
158,Miss Sixty,S, Син,,"26,46 лв.",https://remixshop.com/bg/womens-clothes-dresses-skirts-miss-sixty-pr18765103.html
159,Missguided,S, Бял," 95% полиестер, 5% еластан","15,84 лв.",https://remixshop.com/bg/womens-clothes-dresses-missguided-pr18511519.html
160,Reserved,S, Многоцветен,,"29,25 лв.",https://remixshop.com/bg/womens-clothes-dresses-reserved-pr19377407.html
161,Рокля,S, Многоцветен," 95% памук, 5% еластан","28,35 лв.",https://remixshop.com/bg/womens-clothes-dresses-pr19374912.html
162,Warehouse,S, Многоцветен, Полиестер,"79,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-warehouse-pr19369206.html
163,Missguided,S, Розов,,"15,84 лв.",https://remixshop.com/bg/womens-clothes-dresses-missguided-pr18511583.html
164,Zara Trafaluc,S, Жълт,,"35,70 лв.",https://remixshop.com/bg/womens-clothes-dresses-zara-trafaluc-pr19374606.html
165,Guess,S, Черен," 95% полиамид, 5% еластан","169,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-guess-pr19373708.html
166,Nly Trend,S, Розов, Полиестер,"112,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-nly-trend-pr19370233.html
167,Anna Field,"S, M", Бял," 95% вискоза, 5% еластан","35,36 лв.",https://remixshop.com/bg/womens-clothes-dresses-anna-field-pr19323342.html
168,Esprit,S, Син," 88% вискоза, 10% полиамид, 2% еластан","29,40 лв.",https://remixshop.com/bg/womens-clothes-dresses-esprit-pr19154171.html
169,Bershka,S, Сив," 63% полиестер, 33% вискоза, 4% еластан","22,05 лв.",https://remixshop.com/bg/womens-clothes-dresses-bershka-pr19028160.html
170,Pois,S, Многоцветен," 50% полиестер, 50% памук","10,37 лв.",https://remixshop.com/bg/womens-clothes-dresses-pois-pr18967543.html
171,Рокля,S, Черен," 95% вискоза, 5% еластан","6,50 лв.",https://remixshop.com/bg/womens-clothes-dresses-pr13484671.html
172,Reserved,S, Зелен, Полиестер,"44,25 лв.",https://remixshop.com/bg/womens-clothes-dresses-reserved-pr19377605.html
173,Cinque,S, Многоцветен, Коприна,"46,50 лв.",https://remixshop.com/bg/womens-clothes-dresses-cinque-pr19377202.html
174,H&M,S, Сив,,"27,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-h-and-m-pr19377058.html
175,Tommy Hilfiger,S, Бежов," 99% памук, 1% еластан","68,25 лв.",https://remixshop.com/bg/womens-clothes-dresses-tommy-hilfiger-pr19374950.html
176,Wal G,"XS, S", Черен," 92% полиестер, 8% еластан","137,97 лв.",https://remixshop.com/bg/womens-clothes-dresses-wal-g-pr19365760.html
177,Old Navy,S, Бежов, Памук,"27,30 лв.",https://remixshop.com/bg/womens-clothes-dresses-old-navy-pr19153433.html
