,main_cat,cat,sub-cat,full_sub_cat_link
12,Second Hand,womens-clothes,shorts,https://remixshop.com/bg/secondhand/womens-clothes/shorts
13,Second Hand,womens-clothes,coats,https://remixshop.com/bg/secondhand/womens-clothes/coats
14,Second Hand,womens-clothes,trousers,https://remixshop.com/bg/secondhand/womens-clothes/trousers
15,Second Hand,womens-clothes,skirts,https://remixshop.com/bg/secondhand/womens-clothes/skirts
16,Second Hand,womens-clothes,sweaters,https://remixshop.com/bg/secondhand/womens-clothes/sweaters
17,Second Hand,womens-clothes,shirts,https://remixshop.com/bg/secondhand/womens-clothes/shirts
18,Second Hand,womens-clothes,dresses,https://remixshop.com/bg/secondhand/womens-clothes/dresses
19,Second Hand,womens-clothes,blazers,https://remixshop.com/bg/secondhand/womens-clothes/blazers
20,Second Hand,womens-clothes,sports-clothing,https://remixshop.com/bg/secondhand/womens-clothes/sports-clothing
21,Second Hand,womens-clothes,sweatshirts,https://remixshop.com/bg/secondhand/womens-clothes/sweatshirts
22,Second Hand,womens-clothes,t-shirts,https://remixshop.com/bg/secondhand/womens-clothes/t-shirts
23,Second Hand,womens-clothes,tunics,https://remixshop.com/bg/secondhand/womens-clothes/tunics
24,Second Hand,womens-clothes,socks-and-tights,https://remixshop.com/bg/secondhand/womens-clothes/socks-and-tights
25,Second Hand,womens-clothes,jackets,https://remixshop.com/bg/secondhand/womens-clothes/jackets
26,Second Hand,mens-clothes,sweatpants,https://remixshop.com/bg/secondhand/mens-clothes/sweatpants
27,Second Hand,mens-clothes,swimwear,https://remixshop.com/bg/secondhand/mens-clothes/swimwear
28,Second Hand,mens-clothes,underwear,https://remixshop.com/bg/secondhand/mens-clothes/underwear
29,Second Hand,mens-clothes,tops,https://remixshop.com/bg/secondhand/mens-clothes/tops
30,Second Hand,mens-clothes,jumpsuits,https://remixshop.com/bg/secondhand/mens-clothes/jumpsuits
31,Second Hand,mens-clothes,jeans,https://remixshop.com/bg/secondhand/mens-clothes/jeans
32,Second Hand,mens-clothes,vests,https://remixshop.com/bg/secondhand/mens-clothes/vests
33,Second Hand,mens-clothes,cardigans,https://remixshop.com/bg/secondhand/mens-clothes/cardigans
34,Second Hand,mens-clothes,leggings,https://remixshop.com/bg/secondhand/mens-clothes/leggings
35,Second Hand,mens-clothes,leather-jackets,https://remixshop.com/bg/secondhand/mens-clothes/leather-jackets
36,Second Hand,mens-clothes,suits,https://remixshop.com/bg/secondhand/mens-clothes/suits
37,Second Hand,mens-clothes,shorts,https://remixshop.com/bg/secondhand/mens-clothes/shorts
38,Second Hand,mens-clothes,coats,https://remixshop.com/bg/secondhand/mens-clothes/coats
39,Second Hand,mens-clothes,trousers,https://remixshop.com/bg/secondhand/mens-clothes/trousers
40,Second Hand,mens-clothes,sweaters,https://remixshop.com/bg/secondhand/mens-clothes/sweaters
41,Second Hand,mens-clothes,shirts,https://remixshop.com/bg/secondhand/mens-clothes/shirts
42,Second Hand,mens-clothes,blazers,https://remixshop.com/bg/secondhand/mens-clothes/blazers
43,Second Hand,mens-clothes,sports-clothing,https://remixshop.com/bg/secondhand/mens-clothes/sports-clothing
44,Second Hand,mens-clothes,sweatshirts,https://remixshop.com/bg/secondhand/mens-clothes/sweatshirts
45,Second Hand,mens-clothes,t-shirts,https://remixshop.com/bg/secondhand/mens-clothes/t-shirts
46,Second Hand,mens-clothes,socks,https://remixshop.com/bg/secondhand/mens-clothes/socks
47,Second Hand,mens-clothes,jackets,https://remixshop.com/bg/secondhand/mens-clothes/jackets
48,Second Hand,bags,womens-bags,https://remixshop.com/bg/secondhand/bags/womens-bags
49,Second Hand,bags,bags-other,https://remixshop.com/bg/secondhand/bags/bags-other
50,Second Hand,bags,suitcases,https://remixshop.com/bg/secondhand/bags/suitcases
51,Second Hand,bags,mens-bags,https://remixshop.com/bg/secondhand/bags/mens-bags
52,Second Hand,bags,wallets,https://remixshop.com/bg/secondhand/bags/wallets
53,Second Hand,bags,backpacks,https://remixshop.com/bg/secondhand/bags/backpacks
54,Second Hand,bags,holdalls,https://remixshop.com/bg/secondhand/bags/holdalls
55,Second Hand,accessories,belts,https://remixshop.com/bg/secondhand/accessories/belts
